證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2101,南港,724093,654,30605444,42.60,42.60,42.05,42.35,+,0.10,42.30,37,42.35,29,0.00
2102,泰豐,284915,213,5190774,18.00,18.35,18.00,18.35,+,0.40,18.30,2,18.35,33,0.00
2103,台橡,587157,399,13139582,22.30,22.45,22.30,22.40,+,0.10,22.40,24,22.45,20,41.48
2104,國際中橡,1295198,594,23804052,18.30,18.50,18.25,18.35,+,0.10,18.35,10,18.40,14,0.00
2105,正新,2407631,1539,107548209,44.20,44.90,44.15,44.90,+,0.55,44.85,4,44.90,9,22.23
2106,建大,420715,276,12548632,29.60,29.90,29.60,29.85,+,0.05,29.80,33,29.85,20,0.00
2107,厚生,61103,128,1447927,23.75,23.75,23.65,23.70, ,0.00,23.65,37,23.70,5,13.70
2108,南帝,88343,105,3190737,35.95,36.25,35.90,36.20,+,0.30,36.10,10,36.25,6,25.67
2109,華豐,49875,45,718349,14.35,14.45,14.35,14.40,+,0.05,14.35,31,14.40,4,12.74
2114,鑫永銓,1167,9,123170,105.50,105.50,105.50,105.50, ,0.00,105.50,1,106.00,3,17.88
2115,六暉-KY,31457,36,908332,28.95,29.05,28.85,29.05,+,0.15,28.90,1,28.95,1,14.38
2201,裕隆,3278851,2331,228914735,69.90,70.40,69.50,69.80,+,0.10,69.70,35,69.80,19,93.07
2204,中華,3422759,2289,390322125,113.00,115.50,112.00,113.00, ,0.00,112.50,52,113.00,77,50.00
2206,三陽工業,2162913,1682,155734019,71.60,72.40,71.60,71.80,+,0.30,71.80,21,71.90,15,10.48
2207,和泰車,124932,366,79867032,632.00,642.00,632.00,640.00,+,5.00,639.00,12,640.00,7,38.35
2208,台船,1932682,1031,35687049,18.60,18.60,18.40,18.40,-,0.15,18.40,275,18.45,31,0.00
2211,長榮鋼,474617,815,50372205,106.50,107.00,105.50,106.50, ,0.00,106.00,22,106.50,16,11.78
2227,裕日車,13193,71,2294373,173.00,176.00,173.00,175.00,+,0.50,174.00,2,175.00,2,39.06
2228,劍麟,80897,85,7126134,88.50,88.50,87.70,87.90,-,0.20,87.90,5,88.10,2,14.90
2231,為升,93224,183,12062694,129.50,130.00,129.00,129.50, ,0.00,129.00,31,129.50,1,29.04
2233,宇隆,151763,179,19151343,126.00,127.00,125.50,126.00, ,0.00,126.00,12,126.50,1,15.42
2236,百達-KY,525160,326,35370617,66.60,68.20,66.60,66.90,+,0.20,66.80,1,66.90,1,27.64
2239,英利-KY,17487,25,983513,56.40,56.40,55.70,56.30,-,0.10,55.90,1,56.10,1,31.81
2241,艾姆勒,148239,109,4467338,30.20,30.45,30.05,30.15,-,0.05,30.10,20,30.15,1,0.00
2243,宏旭-KY,556226,413,11120028,19.75,20.45,19.40,19.50,-,0.05,19.50,37,19.65,5,0.00
2247,汎德永業,24824,109,7284936,293.50,294.50,293.00,293.00,-,1.50,293.00,8,294.00,1,13.17
2250,IKKA-KY,345660,285,31027104,88.10,91.50,87.50,90.80,+,3.30,90.30,3,90.80,7,24.41
2254,巨鎧精密-創,22050,5,1821700,82.00,82.70,82.00,82.70,-,0.40,80.10,6,82.70,1,0.00
